Date,Anomaly
201501,0.84
201502,0.88
201503,0.94
201504,0.82
201505,0.83
201506,0.87
201507,0.79
201508,0.84
201509,0.93
201510,1.07
201511,1.05
201512,1.12
201601,1.2
201602,1.34
201603,1.33
201604,1.14
201605,0.96
201606,0.85
201607,0.88
201608,1
201609,0.96
201610,0.87
201611,0.93
201612,0.9
201701,1.04
201702,1.1
201703,1.11
201704,0.95
201705,0.91
201706,0.77
201707,0.86
201708,0.88
201709,0.87
201710,0.92
201711,0.89
201712,0.96
201801,0.84
201802,0.89
201803,0.88
201804,0.91
201805,0.84
201806,0.8
201807,0.85
201808,0.82
201809,0.83
201810,1.02
201811,0.85
201812,0.94
201901,0.93
201902,0.92
201903,1.15
201904,1.05
201905,0.91
201906,0.92
201907,0.93
201908,0.94
201909,0.95
201910,1.02
201911,0.98
201912,1.12
202001,1.16
202002,1.21
202003,1.14
202004,1.14
202005,1
202006,0.94
202007,0.91
202008,0.91
202009,1
202010,0.91
202011,1.07
202012,0.83
202101,0.83
202102,0.65
202103,0.89
202104,0.8
202105,0.82
202106,0.85
202107,0.91
202108,0.88
202109,0.94
202110,0.99
202111,0.94
202112,0.9
202201,0.92
202202,0.9
202203,1.07
202204,0.88
202205,0.83
202206,0.93
202207,0.91
202208,0.92
202209,0.88
202210,0.96
202211,0.75
202212,0.82
202301,0.89
202302,1.02
202303,1.22
202304,0.99
202305,0.97
202306,1.08
202307,1.19
202308,1.27
202309,1.44
202310,1.37
202311,1.43
202312,1.39
202401,1.3
202402,1.42
202403,1.35
202404,1.28
202405,1.19
202406,1.22
202407,1.21
202408,1.27
202409,1.26
202410,1.33
202411,1.33
202412,1.28
